gene_name_1,gene_name_2,co_occurrence
RARY,RARY,2
F-ACTIN,F-ACTIN,12
F-ACTIN,NOGGIN,8
F-ACTIN,RHOA,2
F-ACTIN,SYX,8
F-ACTIN,RAB3D,6
NOGGIN,NOGGIN,178
NOGGIN,PSMAD,6
NOGGIN,RHOA,34
NOGGIN,RHPN,16
NOGGIN,SYX,76
NOGGIN,RAB3D,28
NOGGIN,BMP,28
NOGGIN,SIRT,12
PSMAD,PSMAD,16
PSMAD,RHOA,4
PSMAD,RHPN,2
PSMAD,SYX,12
PSMAD,RAB3D,2
PSMAD,BMP,2
PSMAD,SIRT,4
RHOA,RHOA,192
RHOA,RHPN,12
RHOA,SYX,80
RHOA,RAB3D,2
RHOA,BMP,4
RHOA,SIRT,12
RHPN,RHPN,32
RHPN,SYX,6
RHPN,RAB3D,2
RHPN,BMP,2
SYX,SYX,446
SYX,RAB3D,28
SYX,BMP,18
SYX,SIRT,24
RAB3D,RAB3D,36
RAB3D,BMP,2
RAB3D,SIRT,2
BMP,BMP,92
SIRT,SIRT,50
